API NUMBER,Lat_Wellhead,Lon_Wellhead,Top_Perfs_MD,Lat_length,Fluid,Proppant,Max_Gas,Proppant_per_Ft,Fluid_per_Ft,Max_Gas_per_Ft
3.0231E+12,35.3755,-92.2443,5491,4571,189756,4872140,717378,1065.880551,41.51301685,156.9411507
3.02311E+12,35.4722,-91.8255,4532,4781,89530,3909989,556280,817.8182389,18.72620791,116.3522276
3.0231E+12,35.3918,-92.0788,5192,4128,83596,1955208,649752,473.6453488,20.25096899,157.4011628
3.0231E+12,35.3758,-92.0773,5010,4043,80613,2012780,150603,497.8431858,19.93890675,37.25030918
3.0231E+12,35.3905,-92.0388,5662,4178,97564,1492531,126488,357.2357587,23.35184299,30.27477262
3.0231E+12,35.5783,-92.0866,2771,4177,96293,3494374,547003,836.5750539,23.05314819,130.9559492
3.02311E+12,35.4048,-92.1893,4961,4678,126892,3901909,518358,834.0976913,27.12526721,110.8076101
3.0231E+12,35.4787,-92.2265,3961,4742,118964,3902914,761070,823.0522986,25.08730493,160.4955715
3.0231E+12,35.5089,-92.1856,3885,3492,120711,3700000,202794,1059.564719,34.56786942,58.07388316
3.0231E+12,35.4053,-92.1844,5036,5314,135067,4221486,544383,794.4083553,25.41719985,102.443169
3.02311E+12,35.5652,-91.9406,2740,4147,152685,4314200,226326,1040.318302,36.81818182,54.57583796
3.0231E+12,35.4768,-92.01,4010,4032,150991,4314380,107208,1070.034722,37.44816468,26.58928571
3.0231E+12,35.5802,-91.9284,2710,4112,161649,4679120,283888,1137.918288,39.31152724,69.03891051
3.02311E+12,35.4043,-91.9239,5030,4032,139716,3967660,850584,984.0426587,34.65178571,210.9583333
3.02311E+12,35.5659,-92.1718,2800,3432,116286,3269480,455447,952.6456876,33.88286713,132.7060023
3.02311E+12,35.3885,-92.1979,4890,4882,108053,4235109,460118,867.4946743,22.13293732,94.24784924
3.02311E+12,35.4638,-92.201,4675,4663,91972,3881868,593347,832.4829509,19.72378297,127.2457645
3.02311E+12,35.3773,-92.1018,5270,4572,167962,4682440,753881,1024.155731,36.73709536,164.8908574
3.02311E+12,35.492,-91.809,3163,3997,117425,3105245,437640,776.8939204,29.37828371,109.4921191
3.02311E+12,35.4067,-92.1063,4950,4182,150655,4334040,462134,1036.355811,36.02462936,110.5054998
3.02311E+12,35.4041,-91.9422,4614,4188,80490,5160480,382807,1232.206304,19.21919771,91.4056829
3.02311E+12,35.5071,-92.164,4267,3487,70325,2742669,655771,786.5411529,20.16776599,188.0616576
3.02311E+12,35.553,-92.241,2880,4052,152884,4339040,603272,1070.839092,37.73050346,148.8825271
3.0231E+12,35.509,-92.1856,3620,3807,132751,4087080,154024,1073.56974,34.87023903,40.45810349
3.0231E+12,35.3734,-92.0105,5178,4026,102239,2241780,226214,556.8256334,25.39468455,56.1882762
3.02311E+12,35.4201,-92.0506,5104,6023,135616,4293503,640687,712.8512369,22.51635398,106.373402
3.02311E+12,35.4935,-92.2333,4394,4604,91665,3906464,509276,848.4934839,19.90986099,110.6159861
3.02311E+12,35.4935,-92.2331,4359,5611,111654,4697959,604041,837.2765995,19.89912672,107.653003
3.063E+12,35.5748,-91.5936,2675,4082,122302,3529060,634515,864.5418912,29.96129348,155.4421852
3.063E+12,35.5761,-91.6481,2298,3809,141775,4402760,289923,1155.883434,37.2210554,76.11525335
3.063E+12,35.5647,-91.7857,3186,4110,82114,1971960,333108,479.7956204,19.97907543,81.04817518
3.0231E+12,35.4945,-92.1711,3876,3815,99146,3168793,411595,830.6141547,25.98846658,107.8885976
3.0231E+12,35.3761,-92.048,5257,4137,74350,1601362,67174,387.0829103,17.97196036,16.23737007
3.02311E+12,35.433,-91.9415,5122,3446,43650,3751317,360797,1088.600406,12.66686013,104.7002322
3.02311E+12,35.4279,-91.859,4076,6336,186933,5346483,704503,843.8262311,29.50331439,111.1904987
3.063E+12,35.5771,-91.6287,2570,4222,157732,4795680,277205,1135.87873,37.35954524,65.65727144
3.14112E+12,35.4407,-92.4375,4353,5001,100024,4306406,989494,861.1089782,20.00079984,197.8592282
3.14111E+12,35.531,-92.4305,2710,3200,73393,2602997,542777,813.4365625,22.9353125,169.6178125
3.14111E+12,35.4816,-92.4557,4111,2972,36502,1261884,276240,424.5908479,12.28196501,92.94751009
3.14112E+12,35.3848,-92.41,4969,4486,108164,4394755,489657,979.6600535,24.11145787,109.1522514
3.14111E+12,35.397,-92.3603,4656,4400,123229,3519267,443359,799.8334091,28.00659091,100.7634091
3.1411E+12,35.4598,-92.604,2880,3634,66161,2094889,600334,576.46918,18.20610897,165.1992295
3.14511E+12,35.2409,-91.853,6029,4803,131401,4026186,479120,838.2648345,27.35810951,99.75432022
3.14511E+12,35.3985,-91.7577,4325,5527,142661,4316948,598098,781.0653157,25.81165189,108.2138592
3.14511E+12,35.3519,-91.6797,4751,4781,149625,3919717,841837,819.8529596,31.29575403,176.0796904
3.1411E+12,35.4803,-92.5599,2898,2775,70915,2382498,376549,858.5578378,25.55495495,135.6933333
3.1411E+12,35.3677,-92.4047,5136,3617,73100,3118800,583632,862.2615427,20.21011888,161.3580315
3.14111E+12,35.484,-92.479,3641,6839,99647,3510000,492970,513.2329288,14.57040503,72.08217576
3.14111E+12,35.5164,-92.6547,3350,2488,56088,3034260,173625,1219.557878,22.54340836,69.78496785
3.14112E+12,35.4406,-92.47,4035,4044,72065,3136975,753949,775.7109298,17.8202275,186.4364491
3.14112E+12,35.4677,-92.2801,4235,7598,139475,6187453,885247,814.352856,18.35680442,116.5105291
3.14511E+12,35.4759,-91.784,3838,4348,117432,3504501,587555,806.0029899,27.00827967,135.1322447
3.14511E+12,35.5032,-91.7602,3104,5536,167678,4639110,567966,837.9895231,30.28865607,102.5950145
3.14111E+12,35.4088,-92.3689,4417,5389,55001,1044076,351219,193.7420672,10.2061607,65.17331601
3.14112E+12,35.4651,-92.4047,3828,5548,106755,3883388,752143,699.961788,19.24206921,135.5701154
3.14112E+12,35.4965,-92.3574,4137,4373,68811,3120000,869588,713.4690144,15.73542191,198.8538761
3.14112E+12,35.4955,-92.3311,3252,4663,122966,3921166,647868,840.9105726,26.37057688,138.9380227
3.14112E+12,35.4407,-92.4375,4876,4189,87648,3512640,868713,838.5390308,20.92337073,207.3795655
3.14112E+12,35.4195,-92.308,4520,6099,214518,6095580,656788,999.4392523,35.17265125,107.6878177
3.14111E+12,35.6406,-92.3294,1838,4854,111354,5710100,243589,1176.370004,22.94066749,50.18314792
3.14111E+12,35.5841,-92.3275,2700,4732,108539,6148180,437668,1299.277261,22.93723584,92.49112426
3.14111E+12,35.4734,-92.5896,2754,4136,106544,3592994,511200,868.7122824,25.76015474,123.5976789
3.14111E+12,35.4968,-92.3552,3830,4908,112147,5030480,889819,1024.955175,22.849837,181.2997148
3.14111E+12,35.3813,-92.3525,4853,3768,77270,3511960,389093,932.0488323,20.50690021,103.2624735
3.14111E+12,35.4965,-92.5742,2683,2177,58351,1972390,364232,906.0128617,26.80339917,167.309141
3.14111E+12,35.498,-92.6615,2670,3694,83225,3194319,704907,864.7317271,22.52977802,190.8248511
3.14111E+12,35.4357,-92.2661,4120,4080,92927,3605325,434308,883.6580882,22.77622549,106.4480392
3.14511E+12,35.2869,-92.0429,6490,4092,150092,4325220,849061,1056.994135,36.67937439,207.492913
3.14511E+12,35.3997,-91.7495,3899,4448,120275,3527430,506455,793.0373201,27.04024281,113.861286
